Model,Model_Config,Best_CrossVal_Score,Splitter,Test_Accuracy,Experiment_type,Most_freq_accuracy,Most_Freq_Label
LogisticRegression,"{'C': 5, 'class_weight': 'balanced', 'fit_intercept': True, 'max_iter': 10, 'penalty': 'l1', 'random_state': 200, 'tol': 0.05}",0.7142857142857143,predefined,0.05555555555555555,Global Generalized with Val and Test,0.7213114754098361,2
RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': 15, 'min_samples_split': 3, 'n_estimators': 50, 'random_state': 100}",0.8571428571428571,predefined,0.16666666666666666,Global Generalized with Val and Test,0.7213114754098361,2
LogisticRegression,"{'C': 0.03, 'class_weight': 'balanced', 'fit_intercept': True, 'max_iter': 5, 'penalty': 'l2', 'random_state': 100, 'tol': 0.1}",0.549618320610687,loso,0.06557377049180328,Global Generalized with Loso,0.7213114754098361,2
RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_split': 3, 'n_estimators': 5, 'random_state': 100}",0.5725190839694656,loso,0.14754098360655737,Global Generalized with Loso,0.7213114754098361,2
LogisticRegression,"{'C': 0.0275, 'class_weight': 'balanced', 'fit_intercept': False, 'max_iter': 5, 'penalty': 'l2', 'random_state': 100, 'tol': 0.05}",0.5725190839694656,kfold,0.06557377049180328,Global Generalized with kfold CV with Randomization,0.7213114754098361,2
RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_split': 3, 'n_estimators': 30, 'random_state': 100}",0.5877862595419847,kfold,0.08196721311475409,Global Generalized with kfold CV with Randomization,0.7213114754098361,2
